Day of the month,Month,Year,Mid averaging-period time,"Pasquill stability class
",Average 60 m wind direction (scalar) (units: deg),"Average 60 m wind speed (scalar)
 (units: m/s)","Standard deviation of 60 m wind direction
(units: deg)","Average 60 m temperature 
(units:deg C)",Average 10 m wind direction (scalar) (units: deg),Average 10 m wind speed (scalar) (units: m/s),Standard deviation of 10 m wind direction (units: deg),Average 10 m temperature (units: deg C),"Average dew point temperature (units: deg C)
",Average relative humidity (units: %),Average temperature difference/100m (units: deg C/100m),Total precipitation (units: mm),Average solar radiation (units: Watts/m**2),Average net radiation (units: Watts/m**2),Average barometric pressure (units: kPa),Average water vapor pressure (units: kPa),Average 10 cm soil temperature (units: deg C),Average 100 cm soil temperature (units: deg C),Average 10 ft soil temperature (units: deg C)
1,3,20,30,X   ,183.0,6.4,7.5,-1.4,99999.0,99999.0,99999.0,-1.5,-6.0,71.3,0.3,0.0,0.00,-46.20,99.37,0.39,-0.2,3.4,7.1
1,3,20,130,X   ,182.1,6.6,7.4,-1.2,99999.0,99999.0,99999.0,-1.3,-6.1,69.5,0.3,0.0,0.00,-48.50,99.31,0.39,-0.2,3.4,7.1
1,3,20,230,X   ,179.7,6.6,8.3,-1.0,99999.0,99999.0,99999.0,-1.3,-6.1,69.2,0.5,0.0,0.00,-48.80,99.22,0.39,-0.2,3.4,7.1
1,3,20,330,X   ,179.2,7.8,6.9,-0.6,99999.0,99999.0,99999.0,-0.8,-6.1,66.4,0.4,0.0,0.00,-46.00,99.14,0.39,-0.2,3.4,7.1
1,3,20,430,X   ,179.8,8.0,7.3,-0.3,99999.0,99999.0,99999.0,-0.4,-5.6,67.0,0.2,0.0,0.00,-43.80,99.10,0.40,-0.2,3.4,7.1
1,3,20,530,X   ,175.1,8.0,7.0,0.1,99999.0,99999.0,99999.0,-0.1,-5.1,68.2,0.3,0.0,0.00,-39.40,99.02,0.42,-0.2,3.4,7.1
1,3,20,630,X   ,179.5,8.8,7.8,0.9,99999.0,99999.0,99999.0,0.9,-4.4,66.7,0.0,0.0,10.70,-17.60,98.95,0.44,-0.2,3.4,7.1
1,3,20,730,X   ,184.1,9.6,7.7,1.7,99999.0,99999.0,99999.0,1.9,-3.8,65.0,-0.3,0.0,94.60,36.20,98.93,0.46,-0.1,3.4,7.1
1,3,20,830,X   ,188.6,9.5,9.1,3.3,99999.0,99999.0,99999.0,3.6,-3.1,61.0,-0.6,0.0,284.60,144.10,98.92,0.49,-0.1,3.4,7.1
1,3,20,930,X   ,193.2,8.5,9.7,5.4,99999.0,99999.0,99999.0,5.8,-1.8,57.0,-0.8,0.0,488.90,278.70,98.97,0.54,-0.1,3.4,7.1
1,3,20,1030,X   ,192.6,7.5,9.6,7.5,99999.0,99999.0,99999.0,8.1,-0.5,53.5,-1.2,0.0,603.30,370.90,98.98,0.59,-0.1,3.4,7.1
1,3,20,1130,X   ,198.9,7.4,11.5,10.0,99999.0,99999.0,99999.0,10.8,0.9,49.9,-1.6,0.0,643.70,402.30,98.92,0.65,-0.1,3.4,7.2
1,3,20,1230,X   ,205.2,8.0,11.9,11.7,99999.0,99999.0,99999.0,12.5,2.1,48.6,-1.6,0.0,630.60,395.80,98.85,0.71,-0.1,3.5,7.2
1,3,20,1330,X   ,212.9,7.6,11.8,12.8,99999.0,99999.0,99999.0,13.5,3.3,49.5,-1.4,0.0,545.20,331.10,98.81,0.78,-0.1,3.5,7.2
1,3,20,1430,X   ,213.3,7.8,10.8,12.5,99999.0,99999.0,99999.0,13.1,4.2,53.8,-1.3,0.0,338.10,185.10,98.79,0.82,-0.1,3.5,7.2
1,3,20,1530,X   ,205.9,7.5,10.1,11.9,99999.0,99999.0,99999.0,12.4,4.9,59.4,-1.1,0.0,285.90,149.20,98.79,0.87,-0.1,3.5,7.2
