 M  ,1,4,20,15,2.3077,376.89,370.80,353.83,10.295,0.0000,0.00,28.25
0,653,9,0,9072,2.5299,249.80,237.01,350.23,18.330,0.000,-8.9642,26.93
99,0.45,8,86,0.834,99999,99999,99999,0.002,     E ,111111111,11111111,1110001
 M  ,1,4,20,30,2.3188,428.54,421.78,6.5891,10.177,0.0000,0.00,34.03
0,649,0,0,8031,2.5507,276.84,261.19,16.436,19.257,0.000,-10.649,35.86
99,0.45,1,86,0.177,99999,99999,99999,0.001,     E ,111111111,11111111,1110001
 M  ,1,4,20,45,2.3030,379.65,375.36,5.2469,8.6146,0.0000,0.00,36.10
0,648,7,0,7969,2.5218,218.89,203.67,8.2634,21.360,0.000,-12.103,83.80
99,0.44,1,86,0.227,99999,99999,99999,0.001,     F ,111111111,11111111,1110001
 M  ,1,4,20,100,2.2920,374.58,369.19,7.3128,9.7225,0.0000,0.00,32.06
0,648,3,0,7882,2.4988,230.60,215.25,14.227,20.897,0.000,-12.306,52.92
99,0.42,8,86,0.232,99999,99999,99999,0.002,     F ,111111111,11111111,1110001
 H  ,1,4,20,100,2.305,389.92,382.56,3.3676,11.123,0.0000,0.00,32.61
0,650,0,0,0.824,2.525,244.03,225.44,7.38,19.998,0.0,-11.0,49.88
9,9.4,4,   ,86.4,5.5030,5.3510,6.6180,0.002,     E ,111111111,11111111,1111111
 M  ,1,4,20,115,2.2844,408.35,402.75,358.78,9.4903,0.0000,0.00,43.35
0,650,2,0,8296,2.4853,216.67,199.97,353.46,22.486,0.000,-12.930,129.38
99,0.43,2,86,0.278,99999,99999,99999,0.001,     F ,111111111,11111111,1110001
 M  ,1,4,20,130,2.2688,297.39,291.80,338.79,11.100,0.0000,99999,99999
0,644,4,0,7085,2.4813,242.85,231.19,331.18,17.748,0.000,-12.289,99999
99,0.43,7,86,0.348,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,4,20,145,2.2416,369.78,366.08,351.12,8.1069,0.0000,0.00,28.22
0,646,0,0,7398,2.4663,241.50,229.56,347.73,18.013,0.000,-12.312,30.36
99,0.42,7,86,0.255,99999,99999,99999,0.003,     E ,111111111,11111111,1110001
 M  ,1,4,20,200,2.2245,373.53,369.73,349.60,8.1700,0.0000,0.00,25.59
0,644,5,0,7092,2.4251,255.34,237.88,357.13,21.182,0.000,-12.821,17.08
99,0.42,6,86,0.290,99999,99999,99999,0.004,     E ,111111111,11111111,1110001
 H  ,1,4,20,200,2.255,362.26,355.00,350.38,11.465,0.0000,0.00,32.39
0,646,3,0,0.747,2.465,239.09,221.21,347.27,19.961,0.0,-12.6,58.94
9,9.4,3,   ,86.3,5.4620,5.3550,6.6170,0.003,     F ,111111331,11111111,3111113
 M  ,1,4,20,215,2.1726,356.18,352.29,342.95,8.4691,0.0000,0.00,26.16
0,643,5,0,6874,2.3806,235.56,223.95,346.95,17.985,0.000,-13.323,25.41
99,0.41,6,86,0.340,99999,99999,99999,0.004,     F ,111111111,11111111,1110001
 M  ,1,4,20,230,2.1229,345.74,342.25,340.21,8.1410,0.0000,99999,99999
0,646,1,0,7409,2.3432,264.18,251.34,341.13,17.854,0.000,-13.629,99999
99,0.42,8,86,0.634,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,4,20,245,2.0943,369.06,363.92,343.16,9.5652,0.0000,0.00,23.42
0,643,9,0,6924,2.3006,258.73,247.96,341.31,16.528,0.000,-13.604,11.08
99,0.43,0,86,0.541,99999,99999,99999,0.006,     D ,111111111,11111111,1110001
 M  ,1,4,20,300,2.0700,378.72,375.12,350.11,7.8973,0.0000,0.00,37.89
0,639,0,0,5886,2.2693,210.01,192.71,358.94,23.245,0.000,-13.824,103.76
99,0.42,4,86,0.355,99999,99999,99999,0.001,     F ,111111111,11111111,1110001
 H  ,1,4,20,300,2.115,362.43,357.65,344.22,9.2971,0.0000,0.00,29.15
0,643,1,0,0.677,2.323,242.12,227.33,346.33,19.077,0.0,-13.6,46.75
9,9.4,2,   ,86.5,5.4190,5.3630,6.6160,0.004,     E ,111111331,11111111,3111113
 M  ,1,4,20,315,2.0479,263.78,254.45,350.38,15.237,0.0000,99999,99999
0,636,2,0,5301,2.2403,198.72,184.89,343.42,21.366,0.000,-13.570,99999
99,0.42,7,86,0.458,99999,99999,99999,99999,     F ,111111001,11111111,110000
 M  ,1,4,20,330,2.0603,270.37,266.84,344.29,9.2557,0.0000,99999,99999
0,635,7,0,5183,2.2349,202.55,195.91,337.68,14.664,0.000,-13.459,99999
99,0.43,8,86,0.497,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,4,20,345,2.0551,354.65,351.20,346.68,7.9897,0.0000,0.00,26.34
0,637,7,0,5599,2.2372,233.13,219.11,354.99,19.864,0.000,-13.767,27.07
99,0.44,2,86,0.409,99999,99999,99999,0.004,     F ,111111111,11111111,1110001
 M  ,1,4,20,400,2.0511,377.30,374.45,352.02,7.0365,0.0000,0.00,29.70
0,637,9,0,5637,2.2395,242.47,232.53,1.7485,16.399,0.000,-13.820,35.68
99,0.45,0,86,0.300,99999,99999,99999,0.003,     D ,111111111,11111111,1110001
 H  ,1,4,20,400,2.054,316.52,311.30,348.53,10.407,0.0000,0.00,28.02
0,636,9,0,0.543,2.238,219.22,205.25,350.24,18.269,0.0,-13.7,31.37
9,9.4,4,   ,86.4,5.3720,5.3690,6.6170,0.003,     F ,111111331,11111111,3111113
 M  ,1,4,20,415,2.0463,398.91,395.05,356.14,7.9655,0.0000,0.00,40.29
0,636,5,0,5355,2.2248,220.06,206.50,1.9089,20.105,0.000,-13.807,107.15
99,0.45,3,86,0.406,99999,99999,99999,0.001,     F ,111111111,11111111,1110001
 M  ,1,4,20,430,2.0577,335.12,331.04,351.72,8.9396,0.0000,0.00,24.71
0,634,7,0,4982,2.2401,219.90,204.61,353.33,21.359,0.000,-13.664,26.66
99,0.46,0,86,0.267,99999,99999,99999,0.005,     F ,111111111,11111111,1110001
 M  ,1,4,20,445,2.0662,312.05,309.65,353.74,7.1001,0.0000,0.00,24.14
0,637,4,0,5534,2.2315,199.03,187.82,0.9547,19.226,0.000,-13.601,34.90
99,0.46,4,86,0.301,99999,99999,99999,0.005,     F ,111111111,11111111,1110001
 M  ,1,4,20,500,2.1177,401.14,397.64,4.3686,7.5710,0.0000,0.00,41.57
0,631,9,0,4385,2.2588,216.91,206.92,22.413,17.389,0.000,-13.554,118.35
99,0.46,3,86,0.104,99999,99999,99999,0.001,     E ,111111111,11111111,1110001
 H  ,1,4,20,500,2.072,361.80,357.04,356.88,9.2989,0.0000,0.00,32.68
0,635,1,0,0.506,2.239,213.98,197.84,4.72,19.573,0.0,-13.7,71.77
9,9.4,6,   ,86.3,5.3340,5.3740,6.6170,0.003,     F ,111111111,11111111,1111111
 M  ,1,4,20,515,2.1333,302.39,297.79,9.4233,9.9956,0.0000,0.00,22.74
0,636,3,0,5309,2.2921,194.73,171.86,14.462,27.762,0.000,-13.327,30.76
99,0.46,7,86,0.088,99999,99999,99999,0.006,     F ,111111111,11111111,1110001
 M  ,1,4,20,530,2.1826,333.43,329.26,12.086,9.0590,0.0000,0.00,23.18
0,633,3,0,4690,2.3318,224.41,215.42,23.117,16.218,0.000,-12.859,19.41
99,0.47,9,85,0.865,99999,99999,99999,0.005,     E ,111111111,11111111,1110001
 M  ,1,4,20,545,2.2162,314.33,310.17,10.311,9.3222,0.0000,0.00,27.06
0,638,0,0,5678,2.3694,191.46,180.95,16.767,18.975,2.6911,-10.538,55.74
99,0.48,6,85,0.745,99999,99999,99999,0.003,     D ,111111111,11111111,1110001
 M  ,1,4,20,600,2.2392,288.12,284.14,13.885,9.5147,0.0000,0.00,23.37
0,636,4,0,5345,2.4050,182.80,172.37,17.244,19.345,9.1465,-5.3761,40.95
99,0.49,8,85,0.744,99999,99999,99999,0.002,     D ,111111111,11111111,1110001
 H  ,1,4,20,600,2.193,309.57,305.21,11.404,9.6124,0.0000,0.00,24.09
0,636,0,0,0.526,2.350,198.35,184.84,18.19,21.024,3.0,-10.5,36.71
9,9.4,8,   ,85.9,5.2890,5.3780,6.6220,0.004,     D ,111111111,11111111,1111111
 M  ,1,4,20,615,2.2992,325.51,321.19,10.398,9.3316,0.0000,0.00,32.33
0,640,2,0,6171,2.4898,184.23,171.28,18.060,21.475,18.195,1.5148,96.69
99,0.51,8,85,0.601,99999,99999,99999,0.000,     D ,111111111,11111111,1110001
 M  ,1,4,20,630,2.3480,290.40,286.51,11.025,9.3797,0.0000,0.00,20.48
0,643,8,0,6930,2.5855,203.52,191.34,11.331,19.811,29.920,9.8440,16.93
99,0.52,8,85,0.345,99999,99999,99999,-0.006,     D ,111111111,11111111,1110001
 M  ,1,4,20,645,2.4269,288.46,282.83,6.3062,11.324,0.0000,0.00,20.46
0,649,5,0,8130,2.7226,205.23,192.28,8.3257,20.350,45.082,20.517,16.18
99,0.53,7,85,0.140,99999,99999,99999,-0.013,     D ,111111111,11111111,1110001
