 M  ,1,2,20,15,-0.2773,390.28,388.81,175.87,4.9644,0.2000,99999,99999
0,609,5,0,643,-0.0115,99999,99999,99999,99999,0.000,-1.1383,99999
99,0.52,7,99,0.175,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,30,-0.3179,477.20,475.67,174.74,4.5912,0.2000,99999,99999
0,609,2,0,706,-0.0683,99999,99999,99999,99999,0.000,-0.7680,99999
99,0.50,4,99,0.687,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,45,-0.3634,508.22,506.54,173.97,4.6533,0.0000,99999,99999
0,611,5,0,216,-0.0928,99999,99999,99999,99999,0.000,-0.6342,99999
99,0.48,3,10,0.09,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,100,-0.3938,442.84,440.04,169.72,6.4401,0.0000,99999,99999
0,613,2,0,154,-0.0943,99999,99999,99999,99999,0.000,-0.5534,99999
99,0.46,3,10,0.30,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,100,-0.338,454.63,452.41,173.55,5.6632,0.4000,99999,99999
0,610,8,0,0.035,-0.067,99999,99999,99999,99999,0.0,-0.8,99999
9,9.4,9,   ,99.8,0.0770,3.7590,8.2200,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,115,-0.4159,337.16,335.50,163.76,5.6880,0.0000,99999,99999
0,608,9,0,759,-0.1299,99999,99999,99999,99999,0.000,-0.4232,99999
99,0.43,8,10,0.37,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,130,-0.4287,338.40,335.87,164.66,6.9975,0.2000,99999,99999
0,611,6,0,211,-0.1489,99999,99999,99999,99999,0.000,-0.3369,99999
99,0.41,8,10,0.49,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,145,-0.3985,375.20,372.11,165.56,7.3530,0.0000,99999,99999
0,610,8,0,356,-0.1387,99999,99999,99999,99999,0.000,-0.2853,99999
99,0.40,5,10,0.57,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,200,-0.3585,375.80,371.84,171.18,8.3189,0.0000,99999,99999
0,610,0,0,529,-0.1042,99999,99999,99999,99999,0.000,-0.4358,99999
99,0.38,5,10,0.65,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,200,-0.400,356.64,353.37,166.39,7.7577,0.2000,99999,99999
0,610,3,0,0.046,-0.130,99999,99999,99999,99999,0.0,-0.4,99999
9,9.4,1,1,0.5,0.0760,3.7590,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,215,-0.3152,353.75,347.44,179.03,10.818,0.0000,99999,99999
0,616,2,0,838,-0.0347,99999,99999,99999,99999,0.000,-0.7604,99999
99,0.36,9,10,0.76,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,230,-0.3020,349.91,345.76,180.71,8.8163,0.0000,99999,99999
0,617,9,0,1241,-0.0196,99999,99999,99999,99999,0.000,-0.7994,99999
99,0.34,8,10,0.76,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,245,-0.2566,389.01,384.88,180.56,8.3375,0.0000,99999,99999
0,619,7,0,1605,0.0123,99999,99999,99999,99999,0.000,-0.8755,99999
99,0.32,6,10,0.82,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,300,-0.2261,406.09,402.10,184.78,8.0288,0.0000,99999,99999
0,616,9,0,1019,0.0366,99999,99999,99999,99999,0.000,-0.9836,99999
99,0.31,0,10,0.78,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,2,20,300,-0.275,374.69,369.78,181.38,9.2701,0.0000,99999,99999
0,617,7,0,0.118,-0.001,99999,99999,99999,99999,0.0,-0.9,99999
9,9.3,4,1,0.8,0.0750,3.7530,8.2100,99999,     X ,111111001,11000011,111110
 M  ,1,2,20,315,-0.1959,407.86,404.13,185.74,7.7433,0.0000,99999,99999
0,621,5,0,2020,0.0598,99999,99999,99999,99999,0.000,-1.0548,99999
99,0.28,6,10,0.87,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,330,-0.1896,381.73,376.95,181.25,9.0583,0.0000,99999,99999
0,618,2,0,1324,0.0652,99999,99999,99999,99999,0.000,-1.0665,99999
99,0.25,8,10,0.83,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,2,20,345,-0.1674,369.40,363.88,189.83,9.9046,0.0000,99999,99999
