 M  ,1,3,20,15,-1.5206,604.76,599.84,181.48,7.3048,0.0000,99999,99999
0,393,1,-5,9436,-1.6189,99999,99999,99999,99999,0.000,-46.780,99999
99,0.38,5,72,0.060,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,30,-1.5114,627.00,621.79,181.97,7.3851,0.0000,99999,99999
0,392,3,-5,9735,-1.6751,99999,99999,99999,99999,0.000,-46.406,99999
99,0.37,9,72,0.427,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,45,-1.3000,664.95,660.07,184.22,6.9372,0.0000,99999,99999
0,392,1,-5,9780,-1.4226,99999,99999,99999,99999,0.000,-44.924,99999
99,0.37,3,70,0.715,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,100,-1.1333,652.92,646.41,184.20,8.0905,0.0000,99999,99999
0,389,2,-6,746,-1.3303,99999,99999,99999,99999,0.000,-46.536,99999
99,0.36,2,69,0.803,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,100,-1.366,637.41,631.88,183.01,7.5455,0.0000,99999,99999
0,391,7,-5,0.992,-1.512,99999,99999,99999,99999,0.0,-46.2,99999
9,9.3,7,   ,71.3,-0.1630,3.3790,7.0800,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,115,-1.0701,660.10,655.54,184.18,6.7317,0.0000,99999,99999
0,388,8,-6,896,-1.2562,99999,99999,99999,99999,0.000,-46.458,99999
99,0.34,3,69,0.223,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,130,-1.1681,702.06,697.47,183.13,6.5491,0.0000,99999,99999
0,390,8,-6,220,-1.2650,99999,99999,99999,99999,0.000,-48.486,99999
99,0.31,7,69,0.314,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,145,-1.2013,666.34,661.62,182.86,6.8158,0.0000,99999,99999
0,389,5,-6,631,-1.3163,99999,99999,99999,99999,0.000,-49.213,99999
99,0.29,6,69,0.555,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,200,-1.1910,617.23,611.25,178.03,7.9697,0.0000,99999,99999
0,389,4,-6,674,-1.3098,99999,99999,99999,99999,0.000,-49.927,99999
99,0.26,7,69,0.804,99999,99999,99999,99999,     X ,111111001,11000011,110000
 H  ,1,3,20,200,-1.158,661.43,655.93,182.14,7.3849,0.0000,99999,99999
0,389,6,-6,0.061,-1.287,99999,99999,99999,99999,0.0,-48.5,99999
9,9.3,1,   ,69.5,-0.1650,3.3780,7.0800,99999,     X ,111111001,11000011,111110
 M  ,1,3,20,215,-1.1176,601.10,594.98,180.83,8.1722,0.0000,99999,99999
0,389,7,-6,575,-1.3313,99999,99999,99999,99999,0.000,-50.126,99999
99,0.25,2,69,0.752,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,230,-1.0229,636.34,630.53,184.94,7.7431,0.0000,99999,99999
0,389,1,-6,773,-1.2064,99999,99999,99999,99999,0.000,-49.499,99999
99,0.24,5,69,0.058,99999,99999,99999,99999,     X ,111111001,11000011,110000
 M  ,1,3,20,245,-0.9593,677.05,672.26,176.53,6.8128,0.0000,99999,99999
0,389,3,-6,740,-1.2271,99999,99999,99999,99999,0.000,-48.290,99999
99,0.21,2,69,0.020,99999,99999,99999,99999,     X ,111111001,11000011,110000
