 M  ,1,5,20,15,7.7570,296.07,294.16,16.503,6.5029,0.0000,99999,99999
0,679,7,1,4411,6.4763,177.18,175.27,321.30,8.4187,0.000,-50.991,99999
99,0.19,4,68,0.367,99999,99999,99999,99999,     D ,111111001,11111111,110000
 M  ,1,5,20,30,7.7565,267.41,267.16,10.640,2.4992,0.0000,99999,99999
0,684,6,1,5460,6.0847,181.72,180.73,305.75,6.0010,0.000,-49.760,99999
99,0.20,0,71,0.137,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,45,7.7511,248.40,247.01,5.8939,6.0473,0.0000,99999,99999
0,681,1,1,4732,6.0655,164.60,162.12,313.81,9.9481,0.000,-49.234,99999
99,0.20,2,70,0.891,99999,99999,99999,99999,     D ,111111001,11111111,110000
 M  ,1,5,20,100,7.6554,224.28,223.19,346.08,5.6555,0.0000,99999,99999
0,695,1,1,7566,5.7336,203.97,203.46,301.10,4.0454,0.000,-48.065,99999
99,0.21,1,73,0.455,99999,99999,99999,99999,     E ,111111001,11111111,110000
 H  ,1,5,20,100,7.730,259.04,253.09,5.9279,12.276,0.0000,99999,99999
0,685,1,1,0.554,6.090,181.87,178.72,310.02,7.453,0.0,-49.5,99999
9,9.2,0,   ,71.0,9.2400,8.2500,7.4100,99999,     E ,111111001,11111111,111110
 M  ,1,5,20,115,7.6685,229.32,228.88,348.12,3.5280,0.0000,99999,99999
0,696,5,1,7834,5.6525,185.46,184.94,304.01,4.2841,0.000,-44.921,99999
99,0.21,6,74,0.239,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,130,7.7079,244.34,238.86,348.90,12.132,0.0000,99999,99999
0,694,9,1,7533,5.6310,218.28,216.75,302.01,6.7902,0.000,-43.263,99999
99,0.22,5,74,0.160,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,145,7.6030,221.95,212.73,346.69,16.513,0.0000,99999,99999
0,699,5,1,8467,5.5592,209.77,205.93,307.30,10.953,0.000,-42.921,99999
99,0.22,7,75,0.438,99999,99999,99999,99999,     D ,111111001,11111111,110000
 M  ,1,5,20,200,7.7378,205.72,200.41,349.60,13.011,0.0000,99999,99999
0,685,4,1,5623,5.5328,224.98,222.93,306.99,7.7190,0.000,-41.289,99999
99,0.22,9,74,0.029,99999,99999,99999,99999,     D ,111111001,11111111,110000
 H  ,1,5,20,200,7.679,225.33,220.18,348.32,12.245,0.0000,99999,99999
0,694,1,1,0.736,5.594,209.62,207.48,305.10,7.810,0.0,-43.1,99999
9,9.2,2,   ,74.5,9.1300,8.2500,7.4100,99999,     D ,111111001,11111111,111110
 M  ,1,5,20,215,7.7178,203.20,202.42,341.82,5.0053,0.0000,99999,99999
0,683,2,1,5145,5.7932,215.11,213.95,313.27,5.9483,0.000,-41.255,99999
99,0.23,6,72,0.027,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,230,7.6128,174.60,172.96,332.01,7.8625,0.0000,99999,99999
0,691,8,1,6881,5.5439,196.64,196.03,304.18,4.5290,0.000,-40.182,99999
99,0.23,9,73,0.739,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,245,7.5814,182.60,180.76,308.14,8.1142,0.0000,99999,99999
0,694,7,1,7471,5.3130,217.76,216.25,292.95,6.7451,0.000,-35.331,99999
99,0.24,9,75,0.594,99999,99999,99999,99999,     E ,111111001,11111111,110000
 M  ,1,5,20,300,7.5199,220.85,218.27,309.34,8.7506,0.0000,99999,99999
0,696,1,1,7779,5.1720,231.57,226.68,307.80,11.761,0.000,-30.647,99999
99,0.25,7,77,0.019,99999,99999,99999,99999,     D ,111111001,11111111,110000
 H  ,1,5,20,300,7.608,195.31,187.32,322.58,16.389,0.0000,99999,99999
0,691,4,1,0.682,5.456,215.27,211.41,304.59,7.741,0.0,-36.9,99999
9,9.2,5,   ,74.6,9.0100,8.2600,7.4200,99999,     D ,111111001,11111111,111110
 M  ,1,5,20,315,7.6345,184.29,183.31,325.50,5.9076,0.0000,99999,99999
0,683,4,1,5195,5.5558,208.14,206.26,312.67,7.7041,0.000,-33.521,99999
