time_stamp,Month,Average 60 m temperature,Average 60 m wind speed,Vector-averaged 60 m wind speed,Vector-averaged 60 m wind direction,Standard deviation of 60 m wind direction,Total precipitaion for the period,Estimated heat flux,Estimated friction velocity,Average 10 m temperature,Average 10 m wind speed,Vector-averaged 10 m wind speed,Vector-averaged 10 m wind direction,Standard deviation of 10 m wind direction,Average global irrradiation,Average net radiation,Estimated surface roughness length,day_month,Average 10 m vapor pressure,Average 10 m dew point temperature,hour_min,time_stamp,target,p_target
2020_01_01_00_15,01,-3.4994,584.35,578.0,263.98,8.4474,0.0,0.0,34.89,-3.3795,417.91,409.71,264.28,11.341,0.0,-52.595,7.61,01,0.418,-5.1122,00_15,2020_01_01_00_15,0,0
2020_01_01_00_30,01,-3.5981,622.76,616.97,263.45,7.8146,0.0,0.0,38.53,-3.4822,442.78,434.8,261.12,10.872,0.0,-52.977,9.21,01,0.414,-5.2493,00_30,2020_01_01_00_30,0,0
2020_01_01_00_45,01,-3.7045,642.28,636.82,263.51,7.4678,0.0,0.0,44.15,-3.5998,440.43,432.51,264.08,10.863,0.0,-53.748999999999995,17.02,01,0.414,-5.2413,00_45,2020_01_01_00_45,0,0
2020_01_01_01_00,01,-3.8625,596.84,591.08,262.92,7.961,0.0,0.0,39.93,-3.7582,411.3,403.36,259.55,11.25,0.0,-54.059,14.98,01,0.41100000000000003,-5.348,01_00,2020_01_01_01_00,0,0
2020_01_01_01_15,01,-3.997,559.11,554.5,262.78,7.3519,0.0,0.0,30.41,-3.9303,407.39,399.9,264.2,10.98,0.0,-53.716,4.33,01,0.40700000000000003,-5.4834,01_15,2020_01_01_01_15,0,0
2020_01_01_01_30,01,-4.2005,476.73,471.92,258.43,8.1335,0.0,0.0,25.44,-4.1729,339.58,332.28,253.8,11.875,0.0,-51.93600000000001,4.57,01,0.40399999999999997,-5.5695,01_30,2020_01_01_01_30,0,0
2020_01_01_01_45,01,-4.3845,469.32,465.69,256.16,7.1306,0.0,99999.0,99999.0,-4.3432,359.29,353.19,254.97,10.549000000000001,0.0,-51.545,99999.0,01,0.4,-5.7081,01_45,2020_01_01_01_45,0,0
2020_01_01_02_00,01,-4.522,449.16,446.22,257.81,6.5528,0.0,0.0,21.0,-4.5209,321.0,317.44,255.79,8.525,0.0,-49.766999999999996,2.19,01,0.395,-5.867,02_00,2020_01_01_02_00,0,0
2020_01_01_02_15,01,-4.6048,451.7,449.68,255.35,5.4148,0.0,0.0,26.63,-4.6243,313.4,310.25,255.0,8.1181,0.0,-47.979,8.59,01,0.389,-6.728,02_15,2020_01_01_02_15,0,0
2020_01_01_02_30,01,-4.7124,466.32,464.14,254.89,5.5341,0.0,0.0,31.4,-4.7706,313.89,310.3,255.59,8.6563,0.0,-46.068999999999996,17.26,01,0.386,-6.1694,02_30,2020_01_01_02_30,0,0
2020_01_01_02_45,01,-4.8217,469.43,466.79,250.83,6.0639,0.0,0.0,35.35,-4.9333,303.38,300.98,250.96,7.2121,0.0,-44.513000000000005,30.43,01,0.381,-6.3359,02_45,2020_01_01_02_45,0,0
2020_01_01_03_00,01,-4.933,429.55,428.09,247.7,4.7073,0.0,0.0,24.09,-5.0155,300.02,297.58,248.65,7.3059,0.0,-43.438,6.59,01,0.382,-6.2923,03_00,2020_01_01_03_00,0,0
