RAM 9990/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [24%@2257,16%@2207,22%@2218,24%@2215,34%@2265,23%@2218,21%@2218,14%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 10% AO@37C GPU@43C iwlwifi@37C Tdiode@40C PMIC@100C AUX@36.5C CPU@39C thermal@39.05C Tboard@35C GPU 18087/18087 CPU 3525/3525 SOC 4902/4902 CV 0/0 VDDRQ 2759/2759 SYS5V 4927/4927
RAM 9997/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [20%@2265,21%@2264,26%@2265,23%@2265,25%@2265,19%@2265,22%@2265,20%@2265] EMC_FREQ 54%@2133 GR3D_FREQ 96%@1377 APE 150 MTS fg 0% bg 12% AO@37C GPU@42.5C iwlwifi@37C Tdiode@40.25C PMIC@100C AUX@36.5C CPU@39.5C thermal@39.5C Tboard@35C GPU 16881/17484 CPU 2915/3220 SOC 4753/4827 CV 0/0 VDDRQ 2607/2683 SYS5V 4887/4907
RAM 9985/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [26%@2265,28%@2265,17%@2265,25%@2265,17%@2265,13%@2265,21%@2265,23%@2265] EMC_FREQ 53%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 13% AO@37.5C GPU@43C iwlwifi@38C Tdiode@40.5C PMIC@100C AUX@37C CPU@40C thermal@39.5C Tboard@35C GPU 16874/17280 CPU 3528/3322 SOC 4753/4802 CV 0/0 VDDRQ 2760/2708 SYS5V 4887/4900
RAM 9992/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [19%@2265,20%@2264,23%@2265,22%@2265,23%@2265,20%@2265,24%@2265,22%@2264] EMC_FREQ 55%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@38C GPU@44C iwlwifi@37C Tdiode@41C PMIC@100C AUX@37C CPU@40C thermal@40C Tboard@35C GPU 18247/17522 CPU 2913/3220 SOC 4904/4828 CV 0/0 VDDRQ 2759/2721 SYS5V 4927/4907
RAM 9997/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [29%@2265,24%@2265,26%@2265,35%@2265,27%@2265,16%@2265,27%@2265,22%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 95%@1377 APE 150 MTS fg 0% bg 16% AO@38.5C GPU@43.5C iwlwifi@37C Tdiode@41.25C PMIC@100C AUX@37C CPU@40.5C thermal@40.2C Tboard@36C GPU 17941/17606 CPU 3373/3250 SOC 4902/4842 CV 0/0 VDDRQ 2912/2759 SYS5V 4927/4911
RAM 9985/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [21%@2265,21%@2265,24%@2265,17%@2265,24%@2264,17%@2265,20%@2265,21%@2265] EMC_FREQ 56%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 9% AO@38.5C GPU@44.5C iwlwifi@37C Tdiode@41.25C PMIC@100C AUX@37.5C CPU@40.5C thermal@40.35C Tboard@36C GPU 18240/17711 CPU 3372/3271 SOC 4902/4852 CV 0/0 VDDRQ 2911/2784 SYS5V 4927/4913
RAM 9993/31760MB (lfb 3744x4MB) SWAP 62/15880MB (cached 1MB) CPU [29%@2265,28%@2264,29%@2264,24%@2264,30%@2264,20%@2264,25%@2264,24%@2264] EMC_FREQ 55%@2133 GR3D_FREQ 96%@1377 APE 150 MTS fg 0% bg 15% AO@38.5C GPU@44C iwlwifi@37C Tdiode@41.5C PMIC@100C AUX@38C CPU@41.5C thermal@40.65C Tboard@36C GPU 17941/17744 CPU 3066/3241 SOC 4904/4860 CV 0/0 VDDRQ 2759/2781 SYS5V 4927/4915
RAM 9998/31760MB (lfb 3743x4MB) SWAP 62/15880MB (cached 1MB) CPU [22%@2261,19%@2265,19%@2217,16%@2265,20%@2265,16%@2265,20%@2265,22%@2265] EMC_FREQ 54%@2133 GR3D_FREQ 0%@1377 APE 150 MTS fg 0% bg 11% AO@39C GPU@42.5C iwlwifi@37C Tdiode@41.25C PMIC@100C AUX@38C CPU@40.5C thermal@39.65C Tboard@36C GPU 16274/17560 CPU 3224/3239 SOC 4602/4827 CV 0/0 VDDRQ 2455/2740 SYS5V 4807/4902
RAM 10005/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [23%@2265,18%@2265,24%@2265,22%@2265,31%@2265,21%@2265,17%@2265,20%@2265] EMC_FREQ 53%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 11% AO@39C GPU@44.5C iwlwifi@38C Tdiode@41.75C PMIC@100C AUX@38C CPU@41C thermal@41C Tboard@36C GPU 17488/17552 CPU 3373/3254 SOC 4904/4836 CV 0/0 VDDRQ 2760/2742 SYS5V 4927/4904
RAM 10005/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [31%@2265,28%@2265,26%@2265,30%@2265,29%@2265,15%@2265,22%@2265,24%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 13% AO@39.5C GPU@45C iwlwifi@37C Tdiode@41.75C PMIC@100C AUX@38.5C CPU@41C thermal@41C Tboard@36C GPU 18240/17621 CPU 3985/3327 SOC 4900/4842 CV 0/0 VDDRQ 2757/2743 SYS5V 4967/4911
RAM 10006/31760MB (lfb 3742x4MB) SWAP 62/15880MB (cached 1MB) CPU [26%@2265,19%@2264,25%@2265,21%@2264,14%@2265,19%@2265,23%@2264,20%@2265] EMC_FREQ 55%@2133 GR3D_FREQ 65%@1377 APE 150 MTS fg 0% bg 12% AO@39C GPU@45C iwlwifi@37C Tdiode@42.25C PMIC@100C AUX@38.5C CPU@42C thermal@41.5C Tboard@37C GPU 18247/17678 CPU 3066/3303 SOC 4902/4848 CV 0/0 VDDRQ 2912/2759 SYS5V 4967/4916
