node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
LeakyRelu                             0B (0.00%, 0.00%),        11.97ms (25.68%, 4.12%),         5.42ms (17.20%, 2.63%),         6.56ms (46.35%, 7.75%)
FusedBatchNormV3                      0B (0.00%, 0.00%),         9.79ms (21.56%, 3.37%),         5.94ms (14.57%, 2.88%),         3.85ms (38.59%, 4.56%)
AddV2                                 0B (0.00%, 0.00%),         5.02ms (18.19%, 1.73%),         3.34ms (11.69%, 1.62%),         1.68ms (34.04%, 1.99%)
Tile                           114.69KB (38.83%, 0.01%),         4.35ms (16.46%, 1.50%),          838us (10.07%, 0.41%),         3.52ms (32.05%, 4.16%)
import/conv68/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        2.77MB (38.82%, 0.17%),         3.04ms (14.96%, 1.04%),            57us (9.66%, 0.03%),         2.98ms (27.89%, 3.52%)
ConcatV2                        10.51MB (38.65%, 0.63%),         2.54ms (13.92%, 0.88%),           947us (9.63%, 0.46%),         1.60ms (24.37%, 1.89%)
StridedSlice                     3.62MB (38.02%, 0.22%),         1.63ms (13.05%, 0.56%),           166us (9.17%, 0.08%),         1.46ms (22.48%, 1.73%)
import/darknet/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       22.36MB (37.80%, 1.35%),         1.63ms (12.49%, 0.56%),          1.57ms (9.09%, 0.76%),           52us (20.76%, 0.06%)
import/darknet/residual2/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        5.54MB (36.45%, 0.33%),         1.50ms (11.93%, 0.52%),          1.44ms (8.33%, 0.70%),           59us (20.69%, 0.07%)
Pad                             47.94MB (36.12%, 2.89%),         1.30ms (11.41%, 0.45%),           863us (7.63%, 0.42%),          440us (20.62%, 0.52%)
import/conv61/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer        1.38MB (33.23%, 0.08%),         1.08ms (10.96%, 0.37%),          1.04ms (7.21%, 0.51%),           38us (20.10%, 0.04%)
import/darknet/residual0/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),          992us (10.59%, 0.34%),           905us (6.70%, 0.44%),           87us (20.06%, 0.10%)
Sigmoid                               0B (0.00%, 0.00%),          852us (10.25%, 0.29%),           119us (6.26%, 0.06%),          733us (19.96%, 0.87%)
import/darknet/residual5/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        2.77MB (33.15%, 0.17%),           759us (9.95%, 0.26%),           709us (6.20%, 0.34%),           50us (19.09%, 0.06%)
Mul                                768B (32.98%, 0.00%),           743us (9.69%, 0.26%),           153us (5.86%, 0.07%),          590us (19.03%, 0.70%)
Const                         247.59MB (32.98%, 14.92%),           607us (9.44%, 0.21%),             0us (5.79%, 0.00%),          607us (18.33%, 0.72%)
import/darknet/conv0/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           550us (9.23%, 0.19%),           419us (5.79%, 0.20%),          131us (17.61%, 0.15%)
import/darknet/residual5/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           549us (9.04%, 0.19%),           501us (5.58%, 0.24%),           48us (17.46%, 0.06%)
import/darknet/conv0/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       22.15MB (18.06%, 1.33%),           508us (8.85%, 0.17%),           433us (5.34%, 0.21%),           75us (17.40%, 0.09%)
import/pred_lbbox/concat_2/_32             0B (0.00%, 0.00%),           503us (8.68%, 0.17%),           503us (5.13%, 0.24%),            0us (17.31%, 0.00%)
import/darknet/conv0/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        2.08MB (16.73%, 0.13%),           478us (8.50%, 0.16%),            84us (4.88%, 0.04%),          394us (17.31%, 0.47%)
import/darknet/residual19/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer      692.22KB (16.60%, 0.04%),           437us (8.34%, 0.15%),           389us (4.84%, 0.19%),           48us (16.85%, 0.06%)
BiasAdd                               0B (0.00%, 0.00%),           334us (8.19%, 0.11%),           125us (4.66%, 0.06%),          209us (16.79%, 0.25%)
Cast                            85.50KB (16.56%, 0.01%),           330us (8.07%, 0.11%),           108us (4.59%, 0.05%),          222us (16.54%, 0.26%)
import/darknet/residual0/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       11.08MB (16.56%, 0.67%),           280us (7.96%, 0.10%),           206us (4.54%, 0.10%),           74us (16.28%, 0.09%)
Pack                               184B (15.89%, 0.00%),           277us (7.86%, 0.10%),             0us (4.44%, 0.00%),          277us (16.19%, 0.33%)
import/darknet/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           260us (7.77%, 0.09%),           204us (4.44%, 0.10%),           56us (15.87%, 0.07%)
import/darknet/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       11.08MB (15.89%, 0.67%),           255us (7.68%, 0.09%),           200us (4.34%, 0.10%),           55us (15.80%, 0.07%)
import/darknet/residual0/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer       11.08MB (15.22%, 0.67%),           251us (7.59%, 0.09%),           204us (4.25%, 0.10%),           47us (15.74%, 0.06%)
import/darknet/conv4/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer       22.15MB (14.56%, 1.33%),           248us (7.50%, 0.09%),           208us (4.15%, 0.10%),           40us (15.68%, 0.05%)
edge_1434__arg_import/input/input_data_0_0@@MemcpyHtoD             0B (0.00%, 0.00%),           239us (7.42%, 0.08%),           239us (4.05%, 0.12%),            0us (15.63%, 0.00%)
import/darknet/residual22/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer        4.10KB (13.22%, 0.00%),           226us (7.34%, 0.08%),             0us (3.93%, 0.00%),          226us (15.63%, 0.27%)
ResizeNearestNeighbor            2.42MB (13.22%, 0.15%),           225us (7.26%, 0.08%),            83us (3.93%, 0.04%),          142us (15.37%, 0.17%)
import/pred_sbbox/concat_2/_36             0B (0.00%, 0.00%),           218us (7.18%, 0.08%),           218us (3.89%, 0.11%),            0us (15.20%, 0.00%)
import/darknet/conv4/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           203us (7.11%, 0.07%),           103us (3.78%, 0.05%),          100us (15.20%, 0.12%)
import/darknet/conv9/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer        5.75MB (13.07%, 0.35%),           196us (7.04%, 0.07%),           114us (3.73%, 0.06%),           82us (15.08%, 0.10%)
edge_1168_import/pred_sbbox/strided_slice_10@@MemcpyHtoD             0B (0.00%, 0.00%),           195us (6.97%, 0.07%),           195us (3.68%, 0.09%),            0us (14.98%, 0.00%)
import/darknet/residual0/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           182us (6.90%, 0.06%),           104us (3.58%, 0.05%),           78us (14.98%, 0.09%)
